0x00020000; UL; FileMetaInformationGroupLength; File Meta Information Group Length
0x0008009D; SQ; ConsultingPhysicianIdentificationSequence; Consulting Physician Identification Sequence
0x00080100; SH; CodeValue; Code Value
0x00080101; LO; ExtendedCodeValue; Extended Code Value
0x00080102; SH; CodingSchemeDesignator; Coding Scheme Designator
0x00080103; SH; CodingSchemeVersion; Coding Scheme Version
0x00080104; LO; CodeMeaning; Code Meaning
0x00080105; CS; MappingResource; Mapping Resource
0x00080106; DT; ContextGroupVersion; Context Group Version
0x00080107; DT; ContextGroupLocalVersion; Context Group Local Version
0x00080108; LT; ExtendedCodeMeaning; Extended Code Meaning
0x0008010B; CS; ContextGroupExtensionFlag; Context Group Extension Flag
0x0008010C; UI; CodingSchemeUID; Coding Scheme UID
0x0008010D; UI; ContextGroupExtensionCreatorUID; Context Group Extension Creator UID
0x0008010F; CS; ContextIdentifier; Context Identifier
0x00080110; SQ; CodingSchemeIdentificationSequence; Coding Scheme Identification Sequence
0x00080112; LO; CodingSchemeRegistry; Coding Scheme Registry
0x00080114; ST; CodingSchemeExternalID; Coding Scheme External ID
0x00080115; ST; CodingSchemeName; Coding Scheme Name
0x00080116; ST; CodingSchemeResponsibleOrganization; Coding Scheme Responsible Organization
0x00080117; UI; ContextUID; Context UID
0x00080118; UI; MappingResourceUID; Mapping Resource UID
0x00080119; UC; LongCodeValue; Long Code Value
0x00080120; UR; URNCodeValue; URN Code Value
0x00080121; SQ; EquivalentCodeSequence; Equivalent Code Sequence
0x00080201; SH; TimezoneOffsetFromUTC; Timezone Offset From UTC
0x00080300; SQ; PrivateDataElementCharacteristicsSequence; Private Data Element Characteristics Sequence
0x00080301; US; PrivateGroupReference; Private Group Reference
0x00080302; LO; PrivateCreatorReference; Private Creator Reference
0x00080303; CS; BlockIdentifyingInformationStatus; Block Identifying Information Status
0x00080304; US; NonidentifyingPrivateElements; Nonidentifying Private Elements
0x00080305; SQ; DeidentificationActionSequence; Deidentification Action Sequence
0x00080306; US; IdentifyingPrivateElements; Identifying Private Elements
0x00080307; CS; DeidentificationAction; Deidentification Action
0x00081010; SH; StationName; Station Name
0x00081030; LO; StudyDescription; Study Description
0x00081032; SQ; ProcedureCodeSequence; Procedure Code Sequence
0x0008103E; LO; SeriesDescription; Series Description
0x0008103F; SQ; SeriesDescriptionCodeSequence; Series Description Code Sequence
0x00081040; LO; InstitutionalDepartmentName; Institutional Department Name
0x00081048; PN; PhysiciansOfRecord; Physician(s) of Record
0x00081049; SQ; PhysiciansOfRecordIdentificationSequence; Physician(s) of Record Identification Sequence
0x00081050; PN; PerformingPhysicianName; Performing Physician's Name
0x00081052; SQ; PerformingPhysicianIdentificationSequence; Performing Physician Identification Sequence
0x00081060; PN; NameOfPhysiciansReadingStudy; Name of Physician(s) Reading Study
0x00081062; SQ; PhysiciansReadingStudyIdentificationSequence; Physician(s) Reading Study Identification Sequence
0x00081070; PN; OperatorsName; Operators' Name
0x00081072; SQ; OperatorIdentificationSequence; Operator Identification Sequence
0x00081080; LO; AdmittingDiagnosesDescription; Admitting Diagnoses Description
0x00081084; SQ; AdmittingDiagnosesCodeSequence; Admitting Diagnoses Code Sequence
0x00081090; LO; ManufacturerModelName; Manufacturer's Model Name
0x00081110; SQ; ReferencedStudySequence; Referenced Study Sequence
0x00081111; SQ; ReferencedPerformedProcedureStepSequence; Referenced Performed Procedure Step Sequence
0x00081115; SQ; ReferencedSeriesSequence; Referenced Series Sequence
0x00081120; SQ; ReferencedPatientSequence; Referenced Patient Sequence
0x00081125; SQ; ReferencedVisitSequence; Referenced Visit Sequence
0x00081134; SQ; ReferencedStereometricInstanceSequence; Referenced Stereometric Instance Sequence
0x0008113A; SQ; ReferencedWaveformSequence; Referenced Waveform Sequence
0x00081140; SQ; ReferencedImageSequence; Referenced Image Sequence
0x0008114A; SQ; ReferencedInstanceSequence; Referenced Instance Sequence
0x0008114B; SQ; ReferencedRealWorldValueMappingInstanceSequence; Referenced Real World Value Mapping Instance Sequence
0x00081150; UI; ReferencedSOPClassUID; Referenced SOP Class UID
0x00081155; UI; ReferencedSOPInstanceUID; Referenced SOP Instance UID
0x0008115A; UI; SOPClassesSupported; SOP Classes Supported
0x00081160; IS; ReferencedFrameNumber; Referenced Frame Number
0x00081161; UL; SimpleFrameList; Simple Frame List
0x00081162; UL; CalculatedFrameList; Calculated Frame List
0x00081163; FD; TimeRange; Time Range
0x00081164; SQ; FrameExtractionSequence; Frame Extraction Sequence
0x00081167; UI; MultiFrameSourceSOPInstanceUID; Multi-frame Source SOP Instance UID
0x00081190; UR; RetrieveURL; Retrieve URL
0x00081195; UI; TransactionUID; Transaction UID
0x00081196; US; WarningReason; Warning Reason
0x00081197; US; FailureReason; Failure Reason
0x00081198; SQ; FailedSOPSequence; Failed SOP Sequence
0x00081199; SQ; ReferencedSOPSequence; Referenced SOP Sequence
0x0008119A; SQ; OtherFailuresSequence; Other Failures Sequence
0x00081200; SQ; StudiesContainingOtherReferencedInstancesSequence; Studies Containing Other Referenced Instances Sequence
0x00081250; SQ; RelatedSeriesSequence; Related Series Sequence
0x00082111; ST; DerivationDescription; Derivation Description
0x00082112; SQ; SourceImageSequence; Source Image Sequence
0x00082120; SH; StageName; Stage Name
0x00082122; IS; StageNumber; Stage Number
0x00082124; IS; NumberOfStages; Number of Stages
0x00082127; SH; ViewName; View Name
0x00082128; IS; ViewNumber; View Number
0x00082129; IS; NumberOfEventTimers; Number of Event Timers
0x0008212A; IS; NumberOfViewsInStage; Number of Views in Stage
0x00082130; DS; EventElapsedTimes; Event Elapsed Time(s)
0x00082132; LO; EventTimerNames; Event Timer Name(s)
0x00082133; SQ; EventTimerSequence; Event Timer Sequence
0x00082134; FD; EventTimeOffset; Event Time Offset
0x00082135; SQ; EventCodeSequence; Event Code Sequence
0x00082142; IS; StartTrim; Start Trim
0x00082143; IS; StopTrim; Stop Trim
0x00082144; IS; RecommendedDisplayFrameRate; Recommended Display Frame Rate
0x00082218; SQ; AnatomicRegionSequence; Anatomic Region Sequence
0x00082220; SQ; AnatomicRegionModifierSequence; Anatomic Region Modifier Sequence
0x00082228; SQ; PrimaryAnatomicStructureSequence; Primary Anatomic Structure Sequence
0x00082229; SQ; AnatomicStructureSpaceOrRegionSequence; Anatomic Structure, Space or Region Sequence
0x00082230; SQ; PrimaryAnatomicStructureModifierSequence; Primary Anatomic Structure Modifier Sequence
0x00083001; SQ; AlternateRepresentationSequence; Alternate Representation Sequence
0x00083010; UI; IrradiationEventUID; Irradiation Event UID
0x00083011; SQ; SourceIrradiationEventSequence; Source Irradiation Event Sequence
0x00083012; UI; RadiopharmaceuticalAdministrationEventUID; Radiopharmaceutical Administration Event UID
0x00089007; CS; FrameType; Frame Type
0x00089092; SQ; ReferencedImageEvidenceSequence; Referenced Image Evidence Sequence
0x00089121; SQ; ReferencedRawDataSequence; Referenced Raw Data Sequence
0x00089123; UI; CreatorVersionUID; Creator-Version UID
0x00089124; SQ; DerivationImageSequence; Derivation Image Sequence
0x00089154; SQ; SourceImageEvidenceSequence; Source Image Evidence Sequence
0x00089205; CS; PixelPresentation; Pixel Presentation
0x00089206; CS; VolumetricProperties; Volumetric Properties
0x00089207; CS; VolumeBasedCalculationTechnique; Volume Based Calculation Technique
0x00089208; CS; ComplexImageComponent; Complex Image Component
0x00089209; CS; AcquisitionContrast; Acquisition Contrast
0x00089215; SQ; DerivationCodeSequence; Derivation Code Sequence
0x00089237; SQ; ReferencedPresentationStateSequence; Referenced Presentation State Sequence
0x00089410; SQ; ReferencedOtherPlaneSequence; Referenced Other Plane Sequence
0x00089458; SQ; FrameDisplaySequence; Frame Display Sequence
0x00089459; FL; RecommendedDisplayFrameRateInFloat; Recommended Display Frame Rate in Float
0x00089460; CS; SkipFrameRangeFlag; Skip Frame Range Flag
0x00100010; PN; PatientName; Patient's Name
0x00100020; LO; PatientID; Patient ID
0x00100021; LO; IssuerOfPatientID; Issuer of Patient ID
0x00100022; CS; TypeOfPatientID; Type of Patient ID
0x00100024; SQ; IssuerOfPatientIDQualifiersSequence; Issuer of Patient ID Qualifiers Sequence
0x00100026; SQ; SourcePatientGroupIdentificationSequence; Source Patient Group Identification Sequence
0x00100027; SQ; GroupOfPatientsIdentificationSequence; Group of Patients Identification Sequence
0x00100028; US; SubjectRelativePositionInImage; Subject Relative Position in Image
0x00100030; DA; PatientBirthDate; Patient's Birth Date
0x00100032; TM; PatientBirthTime; Patient's Birth Time
0x00100040; CS; PatientSex; Patient's Sex
0x00100050; SQ; PatientInsurancePlanCodeSequence; Patient's Insurance Plan Code Sequence
0x00100101; SQ; PatientPrimaryLanguageCodeSequence; Patient's Primary Language Code Sequence
0x00100102; SQ; PatientPrimaryLanguageModifierCodeSequence; Patient's Primary Language Modifier Code Sequence
0x00100200; CS; QualityControlSubject; Quality Control Subject
0x00100201; SQ; QualityControlSubjectTypeCodeSequence; Quality Control Subject Type Code Sequence
0x00100212; UC; StrainDescription; Strain Description
0x00100213; LO; StrainNomenclature; Strain Nomenclature
0x00100214; LO; StrainStockNumber; Strain Stock Number
0x00100215; SQ; StrainSourceRegistryCodeSequence; Strain Source Registry Code Sequence
0x00100216; SQ; StrainStockSequence; Strain Stock Sequence
0x00100217; LO; StrainSource; Strain Source
0x00100218; UT; StrainAdditionalInformation; Strain Additional Information
0x00100219; SQ; StrainCodeSequence; Strain Code Sequence
0x00101000; LO; OtherPatientIDs; Other Patient IDs
0x00101001; PN; OtherPatientNames; Other Patient Names
0x00101002; SQ; OtherPatientIDsSequence; Other Patient IDs Sequence
0x00101005; PN; PatientBirthName; Patient's Birth Name
0x00101010; AS; PatientAge; Patient's Age
0x00101020; DS; PatientSize; Patient's Size
0x00101021; SQ; PatientSizeCodeSequence; Patient's Size Code Sequence
0x00101030; DS; PatientWeight; Patient's Weight
0x00101040; LO; PatientAddress; Patient's Address
0x00101060; PN; PatientMotherBirthName; Patient's Mother's Birth Name
0x00101080; LO; MilitaryRank; Military Rank
0x00101081; LO; BranchOfService; Branch of Service
0x00101090; LO; MedicalRecordLocator; Medical Record Locator
0x00101100; SQ; ReferencedPatientPhotoSequence; Referenced Patient Photo Sequence
0x00102000; LO; MedicalAlerts; Medical Alerts
0x00102110; LO; Allergies; Allergies
0x00102150; LO; CountryOfResidence; Country of Residence
0x00102152; LO; RegionOfResidence; Region of Residence
0x00102154; SH; PatientTelephoneNumbers; Patient's Telephone Numbers
0x00102155; LT; PatientTelecomInformation; Patient's Telecom Information
0x00102160; SH; EthnicGroup; Ethnic Group
0x00102180; SH; Occupation; Occupation
0x001021A0; CS; SmokingStatus; Smoking Status
0x001021B0; LT; AdditionalPatientHistory; Additional Patient History
0x001021C0; US; PregnancyStatus; Pregnancy Status
0x001021D0; DA; LastMenstrualDate; Last Menstrual Date
0x001021F0; LO; PatientReligiousPreference; Patient's Religious Preference
0x00102201; LO; PatientSpeciesDescription; Patient Species Description
0x00102202; SQ; PatientSpeciesCodeSequence; Patient Species Code Sequence
0x00102203; CS; PatientSexNeutered; Patient's Sex Neutered
0x00102210; CS; AnatomicalOrientationType; Anatomical Orientation Type
0x00102292; LO; PatientBreedDescription; Patient Breed Description
0x00102293; SQ; PatientBreedCodeSequence; Patient Breed Code Sequence
0x00102294; SQ; BreedRegistrationSequence; Breed Registration Sequence
0x00102295; LO; BreedRegistrationNumber; Breed Registration Number
0x00102296; SQ; BreedRegistryCodeSequence; Breed Registry Code Sequence
0x00102297; PN; ResponsiblePerson; Responsible Person
0x00102298; CS; ResponsiblePersonRole; Responsible Person Role
0x00102299; LO; ResponsibleOrganization; Responsible Organization
0x00104000; LT; PatientComments; Patient Comments
0x00109431; FL; ExaminedBodyThickness; Examined Body Thickness
0x00120010; LO; ClinicalTrialSponsorName; Clinical Trial Sponsor Name
0x00120020; LO; ClinicalTrialProtocolID; Clinical Trial Protocol ID
0x00120021; LO; ClinicalTrialProtocolName; Clinical Trial Protocol Name
0x00120030; LO; ClinicalTrialSiteID; Clinical Trial Site ID
0x00120031; LO; ClinicalTrialSiteName; Clinical Trial Site Name
0x00120040; LO; ClinicalTrialSubjectID; Clinical Trial Subject ID
0x00120042; LO; ClinicalTrialSubjectReadingID; Clinical Trial Subject Reading ID
0x00120050; LO; ClinicalTrialTimePointID; Clinical Trial Time Point ID
0x00120051; ST; ClinicalTrialTimePointDescription; Clinical Trial Time Point Description
0x00120060; LO; ClinicalTrialCoordinatingCenterName; Clinical Trial Coordinating Center Name
0x00120062; CS; PatientIdentityRemoved; Patient Identity Removed
0x00120063; LO; DeidentificationMethod; De-identification Method
0x00120064; SQ; DeidentificationMethodCodeSequence; De-identification Method Code Sequence
0x00120071; LO; ClinicalTrialSeriesID; Clinical Trial Series ID
0x00120072; LO; ClinicalTrialSeriesDescription; Clinical Trial Series Description
0x00120081; LO; ClinicalTrialProtocolEthicsCommitteeName; Clinical Trial Protocol Ethics Committee Name
0x00120082; LO; ClinicalTrialProtocolEthicsCommitteeApprovalNumber; Clinical Trial Protocol Ethics Committee Approval Number
0x00120083; SQ; ConsentForClinicalTrialUseSequence; Consent for Clinical Trial Use Sequence
0x00120084; CS; DistributionType; Distribution Type
0x00120085; CS; ConsentForDistributionFlag; Consent for Distribution Flag
0x00140025; ST; ComponentManufacturingProcedure; Component Manufacturing Procedure
0x00140028; ST; ComponentManufacturer; Component Manufacturer
0x00140030; DS; MaterialThickness; Material Thickness
0x00140032; DS; MaterialPipeDiameter; Material Pipe Diameter
0x00140034; DS; MaterialIsolationDiameter; Material Isolation Diameter
0x00140042; ST; MaterialGrade; Material Grade
0x00140044; ST; MaterialPropertiesDescription; Material Properties Description
0x00140046; LT; MaterialNotes; Material Notes
0x00140050; CS; ComponentShape; Component Shape
0x00140052; CS; CurvatureType; Curvature Type
0x00140054; DS; OuterDiameter; Outer Diameter
0x00140056; DS; InnerDiameter; Inner Diameter
0x00140100; LO; ComponentWelderIDs; Component Welder IDs
0x00140101; CS; SecondaryApprovalStatus; Secondary Approval Status
0x00140102; DA; SecondaryReviewDate; Secondary Review Date
0x00140103; TM; SecondaryReviewTime; Secondary Review Time
0x00140104; PN; SecondaryReviewerName; Secondary Reviewer Name
0x00140105; ST; RepairID; Repair ID
0x00140106; SQ; MultipleComponentApprovalSequence; Multiple Component Approval Sequence
0x00140107; CS; OtherApprovalStatus; Other Approval Status
0x00140108; CS; OtherSecondaryApprovalStatus; Other Secondary Approval Status
0x00141010; ST; ActualEnvironmentalConditions; Actual Environmental Conditions
0x00141020; DA; ExpiryDate; Expiry Date
0x00141040; ST; EnvironmentalConditions; Environmental Conditions
0x00142002; SQ; EvaluatorSequence; Evaluator Sequence
0x00142004; IS; EvaluatorNumber; Evaluator Number
0x00142006; PN; EvaluatorName; Evaluator Name
0x00142008; IS; EvaluationAttempt; Evaluation Attempt
0x00142012; SQ; IndicationSequence; Indication Sequence
0x00142014; IS; IndicationNumber; Indication Number
0x00142016; SH; IndicationLabel; Indication Label
0x00142018; ST; IndicationDescription; Indication Description
0x0014201A; CS; IndicationType; Indication Type
0x0014201C; CS; IndicationDisposition; Indication Disposition
0x0014201E; SQ; IndicationROISequence; Indication ROI Sequence
0x00142030; SQ; IndicationPhysicalPropertySequence; Indication Physical Property Sequence
0x00142032; SH; PropertyLabel; Property Label
0x00142202; IS; CoordinateSystemNumberOfAxes; Coordinate System Number of Axes
0x00142204; SQ; CoordinateSystemAxesSequence; Coordinate System Axes Sequence
0x00142206; ST; CoordinateSystemAxisDescription; Coordinate System Axis Description
0x00142208; CS; CoordinateSystemDataSetMapping; Coordinate System Data Set Mapping
0x0014220A; IS; CoordinateSystemAxisNumber; Coordinate System Axis Number
0x0014220C; CS; CoordinateSystemAxisType; Coordinate System Axis Type
0x0014220E; CS; CoordinateSystemAxisUnits; Coordinate System Axis Units
0x00142210; OB; CoordinateSystemAxisValues; Coordinate System Axis Values
0x00142220; SQ; CoordinateSystemTransformSequence; Coordinate System Transform Sequence
0x00142222; ST; TransformDescription; Transform Description
0x00142224; IS; TransformNumberOfAxes; Transform Number of Axes
0x00142226; IS; TransformOrderOfAxes; Transform Order of Axes
0x00142228; CS; TransformedAxisUnits; Transformed Axis Units
0x0014222A; DS; CoordinateSystemTransformRotationAndScaleMatrix; Coordinate System Transform Rotation and Scale Matrix
0x0014222C; DS; CoordinateSystemTransformTranslationMatrix; Coordinate System Transform Translation Matrix
0x00143011; DS; InternalDetectorFrameTime; Internal Detector Frame Time
0x00143012; DS; NumberOfFramesIntegrated; Number of Frames Integrated
0x00143020; SQ; DetectorTemperatureSequence; Detector Temperature Sequence
0x00143022; ST; SensorName; Sensor Name
0x00143024; DS; HorizontalOffsetOfSensor; Horizontal Offset of Sensor
0x00143026; DS; VerticalOffsetOfSensor; Vertical Offset of Sensor
0x00143028; DS; SensorTemperature; Sensor Temperature
0x00143040; SQ; DarkCurrentSequence; Dark Current Sequence
0x00143050; OB; DarkCurrentCounts; Dark Current Counts
0x00143060; SQ; GainCorrectionReferenceSequence; Gain Correction Reference Sequence
0x00143070; OB; AirCounts; Air Counts
0x00143071; DS; KVUsedInGainCalibration; KV Used in Gain Calibration
0x00143072; DS; MAUsedInGainCalibration; MA Used in Gain Calibration
0x00143073; DS; NumberOfFramesUsedForIntegration; Number of Frames Used for Integration
0x00143074; LO; FilterMaterialUsedInGainCalibration; Filter Material Used in Gain Calibration
0x00143075; DS; FilterThicknessUsedInGainCalibration; Filter Thickness Used in Gain Calibration
0x00143076; DA; DateOfGainCalibration; Date of Gain Calibration
0x00143077; TM; TimeOfGainCalibration; Time of Gain Calibration
0x00143080; OB; BadPixelImage; Bad Pixel Image
0x00143099; LT; CalibrationNotes; Calibration Notes
0x00144002; SQ; PulserEquipmentSequence; Pulser Equipment Sequence
0x00144004; CS; PulserType; Pulser Type
0x00144006; LT; PulserNotes; Pulser Notes
0x00144008; SQ; ReceiverEquipmentSequence; Receiver Equipment Sequence
0x0014400A; CS; AmplifierType; Amplifier Type
0x0014400C; LT; ReceiverNotes; Receiver Notes
0x0014400E; SQ; PreAmplifierEquipmentSequence; Pre-Amplifier Equipment Sequence
0x0014400F; LT; PreAmplifierNotes; Pre-Amplifier Notes
0x00144010; SQ; TransmitTransducerSequence; Transmit Transducer Sequence
0x00144011; SQ; ReceiveTransducerSequence; Receive Transducer Sequence
0x00144012; US; NumberOfElements; Number of Elements
0x00144013; CS; ElementShape; Element Shape
0x00144014; DS; ElementDimensionA; Element Dimension A
0x00144015; DS; ElementDimensionB; Element Dimension B
0x00144016; DS; ElementPitchA; Element Pitch A
0x00144017; DS; MeasuredBeamDimensionA; Measured Beam Dimension A
0x00144018; DS; MeasuredBeamDimensionB; Measured Beam Dimension B
0x00144019; DS; LocationOfMeasuredBeamDiameter; Location of Measured Beam Diameter
0x0014401A; DS; NominalFrequency; Nominal Frequency
0x0014401B; DS; MeasuredCenterFrequency; Measured Center Frequency
0x0014401C; DS; MeasuredBandwidth; Measured Bandwidth
0x0014401D; DS; ElementPitchB; Element Pitch B
0x00144020; SQ; PulserSettingsSequence; Pulser Settings Sequence
0x00144022; DS; PulseWidth; Pulse Width
0x00144024; DS; ExcitationFrequency; Excitation Frequency
0x00144026; CS; ModulationType; Modulation Type
0x00144028; DS; Damping; Damping
0x00144030; SQ; ReceiverSettingsSequence; Receiver Settings Sequence
0x00144031; DS; AcquiredSoundpathLength; Acquired Soundpath Length
0x00144032; CS; AcquisitionCompressionType; Acquisition Compression Type
0x00144033; IS; AcquisitionSampleSize; Acquisition Sample Size
0x00144034; DS; RectifierSmoothing; Rectifier Smoothing
0x00144035; SQ; DACSequence; DAC Sequence
0x00144036; CS; DACType; DAC Type
0x00144038; DS; DACGainPoints; DAC Gain Points
0x0014403A; DS; DACTimePoints; DAC Time Points
0x0014403C; DS; DACAmplitude; DAC Amplitude
0x00144040; SQ; PreAmplifierSettingsSequence; Pre-Amplifier Settings Sequence
0x00144050; SQ; TransmitTransducerSettingsSequence; Transmit Transducer Settings Sequence
0x00144051; SQ; ReceiveTransducerSettingsSequence; Receive Transducer Settings Sequence
0x00144052; DS; IncidentAngle; Incident Angle
0x00144054; ST; CouplingTechnique; Coupling Technique
0x00144056; ST; CouplingMedium; Coupling Medium
0x00144057; DS; CouplingVelocity; Coupling Velocity
0x00144058; DS; ProbeCenterLocationX; Probe Center Location X
0x00144059; DS; ProbeCenterLocationZ; Probe Center Location Z
0x0014405A; DS; SoundPathLength; Sound Path Length
0x0014405C; ST; DelayLawIdentifier; Delay Law Identifier
0x00144060; SQ; GateSettingsSequence; Gate Settings Sequence
0x00144062; DS; GateThreshold; Gate Threshold
0x00144064; DS; VelocityOfSound; Velocity of Sound
0x00144070; SQ; CalibrationSettingsSequence; Calibration Settings Sequence
0x00144072; ST; CalibrationProcedure; Calibration Procedure
0x00144074; SH; ProcedureVersion; Procedure Version
0x00144076; DA; ProcedureCreationDate; Procedure Creation Date
0x00144078; DA; ProcedureExpirationDate; Procedure Expiration Date
0x0014407A; DA; ProcedureLastModifiedDate; Procedure Last Modified Date
0x0014407C; TM; CalibrationTime; Calibration Time
0x0014407E; DA; CalibrationDate; Calibration Date
0x00144080; SQ; ProbeDriveEquipmentSequence; Probe Drive Equipment Sequence
0x00144081; CS; DriveType; Drive Type
0x00144082; LT; ProbeDriveNotes; Probe Drive Notes
0x00144083; SQ; DriveProbeSequence; Drive Probe Sequence
0x00144084; DS; ProbeInductance; Probe Inductance
0x00144085; DS; ProbeResistance; Probe Resistance
0x00144086; SQ; ReceiveProbeSequence; Receive Probe Sequence
0x00144087; SQ; ProbeDriveSettingsSequence; Probe Drive Settings Sequence
0x00144088; DS; BridgeResistors; Bridge Resistors
0x00144089; DS; ProbeOrientationAngle; Probe Orientation Angle
0x0014408B; DS; UserSelectedGainY; User Selected Gain Y
0x0014408C; DS; UserSelectedPhase; User Selected Phase
0x0014408D; DS; UserSelectedOffsetX; User Selected Offset X
0x0014408E; DS; UserSelectedOffsetY; User Selected Offset Y
0x00144091; SQ; ChannelSettingsSequence; Channel Settings Sequence
0x00144092; DS; ChannelThreshold; Channel Threshold
0x0014409A; SQ; ScannerSettingsSequence; Scanner Settings Sequence
0x0014409B; ST; ScanProcedure; Scan Procedure
0x0014409C; DS; TranslationRateX; Translation Rate X
0x0014409D; DS; TranslationRateY; Translation Rate Y
0x0014409F; DS; ChannelOverlap; Channel Overlap
0x001440A0; LO; ImageQualityIndicatorType; Image Quality Indicator Type
0x001440A1; LO; ImageQualityIndicatorMaterial; Image Quality Indicator Material
0x001440A2; LO; ImageQualityIndicatorSize; Image Quality Indicator Size
0x00145002; IS; LINACEnergy; LINAC Energy
0x00145004; IS; LINACOutput; LINAC Output
0x00145100; US; ActiveAperture; Active Aperture
0x00145101; DS; TotalAperture; Total Aperture
0x00145102; DS; ApertureElevation; Aperture Elevation
0x00145103; DS; MainLobeAngle; Main Lobe Angle
0x00145104; DS; MainRoofAngle; Main Roof Angle
0x00145105; CS; ConnectorType; Connector Type
0x00145106; SH; WedgeModelNumber; Wedge Model Number
0x00145107; DS; WedgeAngleFloat; Wedge Angle Float
0x00145108; DS; WedgeRoofAngle; Wedge Roof Angle
0x00145109; CS; WedgeElement1Position; Wedge Element 1 Position
0x0014510A; DS; WedgeMaterialVelocity; Wedge Material Velocity
